model,checkpoint,compositional_translate_eng_fr_last
allenai/OLMo-2-0425-1B,main,0.08092485549132948
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,0.16184971098265896
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,0.10982658959537572
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,0.09248554913294797
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,0.13872832369942195
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,0.16184971098265896
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,0.1676300578034682
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,0.2138728323699422
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,0.12716763005780346
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,0.1676300578034682
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,0.1676300578034682
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,0.0
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,0.09826589595375723
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,0.15028901734104047
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,0.12138728323699421
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,0.08092485549132948
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,0.16184971098265896
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,0.12716763005780346
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,0.12138728323699421
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,0.11560693641618497
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,0.18497109826589594
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,0.07514450867052024
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,0.14450867052023122
